Команда,Корректировка
122,44-63-70
109,44-63-49
102,44-63-70
115,44-63-70
117,38-63-44
119,49-63-70
121,44-63-70
138,44-63-80
138,45-71-финиш
141,44-63-40
159,44-63-49
159,44-63-49
160,44-63-70
161,44-63-70
172,59-68-43
172,45-71-39
176,44-63-49
180,44-63-49
181,44-63-70
186,44-63-70
186,45-66-60
189,38-63-44
192,44-63-49
195,49-63-44
198,44-63-49
199,44-63-49
206,44-63-49
206,44-63-49
216,44-63-49
218,44-63-49
222,44-63-49
232,44-63-70
236,44-63-49
238,44-63-49
243,44-63-49
243,44-63-49
247,44-63-49
254,44-63-70
260,38-63-44
264,62-39-32
271,44-63-70
273,44-63-49
275,34-39-44
275,44-63-54
280,44-63-49
281,44-63-70
285,44-63-59
285,44-63-49
288,44-63-49
294,44-63-70
294,54-44-63
297,44-63-70
300,44-63-49
301,44-63-49
302,44-63-49
304,44-63-70
309,44-63-49
310,44-63-72
316,44-63-70
318,37-43-68
319,44-63-49
320,44-63-70
325,44-63-49
332,44-63-49
333,59-42-68
334,44-63-70
339,44-63-49
349,44-63-49
353,44-63-70
359,44-63-49
360,44-63-49
367,44-63-49
375,49-63-44
375,44-39-34
378,44-63-49
385,44-63-49
387,44-63-72
390,старт-33-35
390,66-67-47
390,47-43-68
390,61-30-50
390,44-63-70
393,44-63-70
395,44-63-49
403,44-63-49
407,44-63-70
411,49-63-44
419,44-63-49
422,44-63-49
423,44-63-49
430,44-63-49
436,44-63-49
440,49-63-44
454,44-63-49
454,34-66-53
464,44-63-62
172.1,45-71-55
172,44-63-40